cve_ent,state,population,total_cases,cases_rates,total_cases_last_60_days,cases_rate_last_60_days,total_deaths,deaths_rates,total_deaths_last_60_days,deaths_rate_last_60_days
1,AGUASCALIENTES,1434635,26695,1860.752037974816,828,57.71502856127169,2456,171.19336974212953,88,6.133964388154478
2,BAJA CALIFORNIA,3634868,50286,1383.4340064068351,2403,66.1096909158737,8648,237.91785561401406,177,4.869502826512544
3,BAJA CALIFORNIA SUR,804708,36317,4513.065608891673,6423,798.1777240937085,1486,184.6632567341197,118,14.663704101363477
4,CAMPECHE,1000617,11099,1109.2156139661827,1666,166.4972711836797,1266,126.52193596550927,58,5.796423606634706
5,COAHUILA,3218720,69397,2156.043396132624,1391,43.2159367698961,6376,198.09116667495155,70,2.17477755132475
6,COLIMA,785153,12208,1554.856187265412,1043,132.84035086155183,1210,154.1100906447533,34,4.330366183406292
7,CHIAPAS,5730367,12063,210.51007727777298,1129,19.702053987118102,1655,28.881221743738227,43,0.7503882386590597
8,CHIHUAHUA,3801487,57486,1512.197726836893,4742,124.74066069409155,7493,197.10707941392405,420,11.04830820150115
9,DISTRITO FEDERAL,9018645,673666,7469.703042973751,33694,373.60379524862105,34461,382.10839876722054,675,7.484494621974809
10,DURANGO,1868996,34588,1850.6192629625746,1238,66.23877204659614,2495,133.49413267872163,72,3.852335692532247
11,GUANAJUATO,6228175,132654,2129.9016164446243,2373,38.101048862628296,11079,177.88517503120897,125,2.0070084735897753
12,GUERRERO,3657048,41610,1137.8029492639964,2298,62.83756734940313,4547,124.33525619570759,181,4.9493471236910205
13,HIDALGO,3086414,39378,1275.8495781836136,1260,40.82407609607784,6268,203.0835785477904,154,4.989609300631736
14,JALISCO,8409693,88151,1048.2071105330479,2992,35.577993156230555,12605,149.88656541921327,276,3.281927176176348
15,MEXICO,17427790,256711,1472.9980106485102,8829,50.66046813738288,37211,213.51531089139814,762,4.372327185489382
16,MICHOACAN,4825401,49066,1016.8274097841816,1630,33.77957603937994,5941,123.11930138034124,262,5.429600565838984
17,MORELOS,2044058,34218,1674.0229484681943,2079,101.70944268704704,3550,173.67413253439972,172,8.414634027018803
18,NAYARIT,1288571,12535,972.7830286418056,849,65.88693987370506,1868,144.9667887916149,70,5.432374312319616
19,NUEVO LEON,5610153,126087,2247.4788120751787,4806,85.66611284932871,9692,172.7582117635651,208,3.7075637687599605
20,OAXACA,4143593,47969,1157.666788219789,1970,47.54327946784349,3897,94.04881222649038,124,2.9925719055901485
21,PUEBLA,6604451,85952,1301.4253569297432,2997,45.378487931850806,12173,184.3150929577644,546,8.2671519555524
22,QUERETARO,2279637,69570,3051.8016684235254,2308,101.24418931610603,4452,195.2942507951924,146,6.404528440273605
23,QUINTANA ROO,1723259,30733,1783.4231534551684,8056,467.4863151737493,2943,170.7810607691589,341,19.788087571282087
24,SAN LUIS POTOSI,2866142,65045,2269.426985822754,2396,83.59669548822076,5428,189.38349879384901,105,3.6634611962701085
25,SINALOA,3156674,41039,1300.0708974065742,3296,104.413696187823,6362,201.5412424596268,201,6.367461448347216
26,SONORA,3074745,77872,2532.632787434405,4873,158.4846873480565,6739,219.17264683738,150,4.878453335154623
27,TABASCO,2572287,73707,2865.426758367165,10432,405.55350161160084,4234,164.6006063864569,179,6.958788035705192
28,TAMAULIPAS,3650602,63234,1732.1526696144908,7121,195.06371825797498,5169,141.59308519526368,271,7.423433176226824
29,TLAXCALA,1380011,20111,1457.3072243627043,609,44.13008302107737,2525,182.9695560397707,43,3.115917191964412
30,VERACRUZ,8539862,63701,745.9254025416336,4021,47.085069992934315,10063,117.83562778883312,265,3.1030946401710002
31,YUCATAN,2259098,44434,1966.8912105627999,7614,337.03717147286216,4101,181.53262939456366,344,15.22731638910751
32,ZACATECAS,1666426,30964,1858.1083108400853,1210,72.61048495402736,2832,169.94453999157477,69,4.140597902337097
